web-scraper-order,web-scraper-start-url,plant,plant-href,name
"1580330528-81","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Aciphylla squarrosa (Common Speargrass)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/aciphylla-squarrosa-common-speargrass.html","Aciphylla squarrosa (Common Speargrass)"
"1580330408-28","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Clematis foetida (Yellow clematis)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/clematis-foetida-yellow-clematis.html","Clematis foetida (Yellow clematis)"
"1580330467-53","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Calystegia tuguriorum (NZ Bindweed)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/calystegia-tuguriorum-nz-bindweed.html","Calystegia tuguriorum (NZ bindweed)"
"1580330534-84","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Aciphylla ferox (Fierce Speargrass)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/aciphylla-ferox-fierce-speargrass.html","Aciphylla ferox (Fierce Speargrass)"
"1580330390-21","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Crassula manaia","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/crassula-manaia.html","Crassula manaia"
"1580330452-46","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia petriei (Desert broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-petriei-desert-broom.html","Carmichaelia petriei (Desert broom)"
"1580330521-78","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Anaphalioides bellidioides (Everlasting daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/anaphalioides-alpina.html","Anaphalioides alpina"
"1580330540-87","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena rorida","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/acaena-rorida.html","Acaena rorida"
"1580330557-95","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena anserinifolia (Piripiri)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/acaena-anserinifolia-piripiri.html","Acaena anserinifolia (Piripiri)"
"1580330530-82","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Aciphylla horrida (Horrid Spaniard)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/horrid-spaniard-dracophyllum-uniflorum-south-island.html","Aciphylla horrida (Horrid Spaniard)"
"1580330353-6","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Fushia perscandens","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/fushia-perscandens.html","Fucshia perscandens (Scrambling Fuchsia)"
"1580330511-73","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Anisotome lyallii ( Lyall’s carrot)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/anisotome-lyallii-lyall-s-carrot.html","Anisotome lyallii ( Lyall’s carrot)"
"1580330403-26","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Clematis paniculata (Clematis)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/native-clematis.html","Clematis paniculata (Puawhananga)"
"1580330544-89","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena novae-zelandiae (Bidibid)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bidibid-2.html","Acaena novae-zelandiae (Bidibid)"
"1580330383-18","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Disphyma australe subsp. australe (Horokaka)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/disphyma-australe-subsp-australe-horokaka.html","Disphyma australe subsp. australe (Horokaka)"
"1580330473-55","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Bulbinella rossii (Ross lily)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bulbinella-rossii-ross-lily.html","Bulbinella rossii (Ross lily)"
"1580330394-23","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Cortaderia genus: (Toetoe)","http://www.terrain.net.nz/friends-of-te-henui-group/plants-grasses-sedges-rushes-nz-natives/toetoe.html","Austroderia species (Toetoe) Native"
"1580330538-86","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Aciphylla aurea (Golden Spaniard)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/aciphylla-aurea-golden-spaniard.html","Aciphylla aurea (Golden Spaniard)"
"1580330365-10","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Eryngium vesiculosum","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/sea-holly-eryngium-vesiculosum.html","Eryngium vesiculosum (Sea holly)"
"1580330536-85","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Aciphylla dissecta (Tararua speargrass)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/aciphylla-dissecta.html","Aciphylla dissecta (Tararua speargrass)"
"1580330549-91","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena microphylla (Scarlet)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bidibid-scarlet-acaena-microphylla.html","Acaena microphylla (Scarlet Bidibid)"
"1580330450-45","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia stevensonii (Weeping Broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-stevensonii-weeping-broom.html","Carmichaelia stevensonii (Weeping Broom)"
"1580330410-29","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia walkeri","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-walkeri.html","Celmisia walkeri"
"1580330435-38","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia hieracifolia (Sticky stalked daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-hieracifolia-sticky-stalked-daisy.html","Celmisia hieracifolia (Sticky stalked daisy)"
"1580330406-27","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Clematis forsteri (Forster's Clematis)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/clematis-forsteri-forster-s-clematis.html","Clematis forsteri (Forster's Clematis)"
"1580330513-74","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Anisotome latifolia (Campbell Island carrot)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/anisotome-latifolia-campbell-island-carrot.html","Anisotome latifolia (Campbell Island carrot)"
"1580330439-40","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia glandulosa var. latifolia  (Egmont Bog Mountain Daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-glandulosa-var-latifolia-egmont-bog-mountain-daisy.html","Celmisia glandulosa var. latifolia  (Egmont Bog Mountain Daisy)"
"1580330465-52","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia astonii (Astons Dwarf Broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-astonii-astons-dwarf-broom-2.html","Carmichaelia astonii (Astons Dwarf Broom)"
"1580330348-4","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Fuchsia procumbens variegata (Variegated)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/fuchsia-variegata-fuchsia-procumbens-variegata.html","Fuchsia (Variegata) Fuchsia procumbens variegata"
"1580330374-14","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Drosera auriculata (Cormous sundew)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carnivorous-plants.html","Drosera auriculata (Cormous sundew)"
"1580330448-44","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia williamsii (Giant flowered broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-williamsii-giant-flowered-broom.html","Carmichaelia williamsii (Giant flowered broom)"
"1580330379-16","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Disphyma papillatum (Chatham Island ice plant)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/disphyma-papillatum-chatham-island-ice-plant.html","Disphyma papillatum (Chatham Island ice plant)"
"1580330471-54","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Calystegia soldanella (Shore bindweed)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/calystegia-soldanella-shore-bindweed.html","Calystegia soldanella (Shore bindweed)"
"1580330360-9","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Euchiton involucratus (Star cottonleaf)","http://www.terrain.net.nz/friends-of-te-henui-group/weeds-by-scientific-names/euchiton-involucratus-star-cottonleaf.html","Euchiton involucratus (Star cottonleaf)"
"1580330381-17","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","","http://www.terrain.net.nz/friends-of-te-henui-group/plants-grasses-sedges-rushes-nz-natives/carex-lambertiana-forest-sedge.html","Carex lambertiana (Forest sedge) Native"
"1580330388-20","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Dactylanthus taylorii (Wood Rose)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/wood-rose-dactylanthus-taylorii.html","Dactylanthus taylorii (Wood Rose)"
"1580330414-31","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia spectabilis ssp. spectabilis (Common mountain daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-spectabilis-ssp-spectabilis-common-mountain-daisy.html","Celmisia spectabilis ssp. spectabilis (Common mountain daisy)"
"1580330437-39","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia gracilenta (Pekapeka)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-gracilenta-common-mountain-daisy.html","Celmisia gracilenta (Common mountain daisy)"
"1580330458-49","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia corrugata (Common Dwarf Broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/broom-common-dwarf-carmichaelia-corrugata.html","Carmichaelia corrugata (Common Dwarf Broom)"
"1580330547-90","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena minor var. antarctica (Acaena antarctica)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/acaena-minor-var-antarctica.html","Acaena minor var. antarctica (Acaena antarctica)"
"1580330392-22","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Craspedia uniflora var. uniflora (Wollyhead)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/craspedia-uniflora-var-uniflora-wollyhead.html","Craspedia uniflora var. uniflora (Wollyhead)"
"1580330475-56","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Bulbinella angustifolia (Golden Star lily)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bulbinella-angustifolia.html","Bulbinella angustifolia (Golden star lily)"
"1580330498-67","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Astelia grandis (Swamp)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/astelia-swamp-astelia-grandis.html","Astelia grandis (Swamp Astelia)"
"1580330412-30","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Centella uniflora (Centella)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/centella-uniflora-centella.html","Centella uniflora (Centella)"
"1580330551-92","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena inermis 'Purpurea'","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bidibid-purple-acaena-inermis-purpurea.html","Acaena inermis 'Purpurea' (Purple Bidibid)"
"1580330428-36","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia lateralis (Shrub Daisy","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-lateralis-shrub-daisy.html","Celmisia lateralis (Shrub Daisy)"
"1580330490-63","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Brachyglottis bellidioides (Dwarf Alpine Senecio)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/brachyglottis-bellidioides-dwarf-alpine-senecio.html","Brachyglottis bellidioides (Dwarf Alpine Senecio)"
"1580330454-47","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia odorata (Scented broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-odorata-scented-broom.html","Carmichaelia odorata (Scented broom)"
"1580330456-48","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia hollowayi (Holloway's broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-hollowayi-holloway-s-broom.html","Carmichaelia hollowayi (Holloway's broom)"
"1580330397-24","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Coriaria pteridoides (Small-leaved tutu)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/coriaria-pteridoides-small-leaved-tutu.html","Coriaria pteridoides (Mountain tutu)"
"1580330496-66","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Astelia hastata (Perching lily)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/perching-lily.html","Astelia hastata (Perching lily)"
"1580330372-13","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Drosera spatulata (Spoon-leaved Sundew)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carnivorous-plant-sundew-drosera-spathulata.html","Drosera spathulata (Spoon-leaved Sundew)"
"1580330420-34","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia semicordata (Mountain Daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-semicordata-mountain-daisy.html","Celmisia semicordata (Mountain Daisy)"
"1580330445-43","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia bellidioides (Green cushion mountain daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-bellidioides-green-cushion-mountain-daisy.html","Celmisia bellidioides (Green cushion mountain daisy)"
"1580330376-15","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Dracophyllum politum","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/dracophyllum-politum.html","Dracophyllum politum"
"1580330358-8","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Euchiton sphaericus (Globe cottobleaf)","http://www.terrain.net.nz/friends-of-te-henui-group/weeds-by-scientific-names/euchiton-sphaericus-globe-cottonleaf.html","Euchiton sphaericus (Japanese cudweed)"
"1580330486-61","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Brachyglottis kirkii var. kirkii (Kirk's daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/brachyglottis-kirkii-var-kirkii-kirk-s-daisy.html","Brachyglottis kirkii var. kirkii (Kirk's daisy)"
"1580330351-5","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Fuchsia procumbens (Creeping Fuchsia)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/fuchsia-creeping-fuchsia-procumbens.html","Fuchsia procumbens (Creeping Fuchsia)"
"1580330507-71","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Astelia chathamica (Chatham Islands astelia)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/astelia-chathamica-silver-spear.html","Astelia chathamica (Chatham Islands Astelia)"
"1580330399-25","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Coriaria angustissima (Small leaved tutu)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/coriaria-angustissima-small-leaved-tutu.html","Coriaria angustissima (Small leaved tutu)"
"1580330555-94","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena caesiiglauca (Glaucous)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/bidibid-glaucous-acaena-caesiiglauca.html","Acaena caesiiglauca (Glaucous Bidibid)"
"1580330553-93","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Acaena fissistipula","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/acaena-fissistipula.html","Acaena fissistipula"
"1580330460-50","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Carmichaelia australis (NZ Broom)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/carmichaelia-australis-nz-native-broom.html","Carmichaelia australis NZ native broom)"
"1580330431-37","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia hookeri (Hooker's mountain daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/celmisia-hookeri-hooker-s-mountain-daisy.html","Celmisia hookeri (Hooker's mountain daisy)"
"1580330481-59","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Brachyglottis monroi (Monro's daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/brachyglottis-monroi-monro-s-daisy.html","Brachyglottis monroi (Monro's daisy)"
"1580330426-35","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Celmisia mackaui (Akaroa Daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/akaroa-daisy-celmisia-mackaui.html","Celmisia mackaui (Akaroa Daisy"
"1580330488-62","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Brachyglottis compacta (Castlepoint daisy)","http://www.terrain.net.nz/friends-of-te-henui-group/table-1/brachyglottis-compacta-castlepoint-daisy.html","Brachyglottis compacta (Castlepoint daisy)"
"1580330519-77","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","Anaphalioides bellidioides (Hells Bells)","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/anaphalioides-bellidioides-hells-bells.html","Anaphalioides bellidioides (Everlasting daisy)"
"1580330501-68","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page.html","","http://www.terrain.net.nz/friends-of-te-henui-group/new-plant-page/astelia-nervosa-mountain-astelia.html","Astelia nervosa (Mountain Astelia)"
